threshold,precision,recall,f1
0.0,0.1336322869955157,1.0,0.23575949367088608
0.01,0.13375224416517056,1.0,0.23594615993665874
0.02,0.13423423423423422,1.0,0.23669579030976967
0.03,0.13745387453874539,1.0,0.24168694241686942
0.04,0.14622178606476938,1.0,0.2551369863013699
0.05,0.15987124463519314,1.0,0.27567067530064754
0.06,0.17759237187127533,1.0,0.3016194331983806
0.07,0.20244565217391305,1.0,0.3367231638418079
0.08,0.23233908948194662,0.9932885906040269,0.37659033078880405
0.09,0.26102292768959434,0.9932885906040269,0.4134078212290503
0.1,0.30265848670756645,0.9932885906040269,0.46394984326018807
0.11,0.34579439252336447,0.9932885906040269,0.512998266897747
0.12,0.3854166666666667,0.9932885906040269,0.5553470919324578
0.13,0.4260869565217391,0.9865771812080537,0.5951417004048583
0.14,0.45482866043613707,0.9798657718120806,0.6212765957446809
0.15,0.4866666666666667,0.9798657718120806,0.6503340757238307
0.16,0.5141843971631206,0.9731543624161074,0.6728538283062645
0.17,0.5555555555555556,0.9731543624161074,0.7073170731707317
0.18,0.5783132530120482,0.9664429530201343,0.7236180904522613
0.19,0.6101694915254238,0.9664429530201343,0.7480519480519481
0.2,0.6371681415929203,0.9664429530201343,0.768
0.21,0.6666666666666666,0.9664429530201343,0.7890410958904109
0.22,0.6923076923076923,0.9664429530201343,0.8067226890756303
0.23,0.7128712871287128,0.9664429530201343,0.8205128205128205
0.24,0.7272727272727273,0.9664429530201343,0.829971181556196
0.25,0.7384615384615385,0.9664429530201343,0.8372093023255814
0.26,0.7539267015706806,0.9664429530201343,0.8470588235294118
0.27,0.7619047619047619,0.9664429530201343,0.8520710059171598
0.28,0.7912087912087912,0.9664429530201343,0.8700906344410876
0.29,0.8044692737430168,0.9664429530201343,0.8780487804878049
0.3,0.8135593220338984,0.9664429530201343,0.8834355828220859
0.31,0.8372093023255814,0.9664429530201343,0.897196261682243
0.32,0.8520710059171598,0.9664429530201343,0.9056603773584906
0.33,0.8571428571428571,0.9664429530201343,0.9085173501577287
0.34,0.8674698795180723,0.9664429530201343,0.9142857142857143
0.35000000000000003,0.8727272727272727,0.9664429530201343,0.9171974522292994
0.36,0.8727272727272727,0.9664429530201343,0.9171974522292994
0.37,0.8944099378881988,0.9664429530201343,0.9290322580645162
0.38,0.9056603773584906,0.9664429530201343,0.935064935064935
0.39,0.9056603773584906,0.9664429530201343,0.935064935064935
0.4,0.9056603773584906,0.9664429530201343,0.935064935064935
0.41000000000000003,0.9050632911392406,0.959731543624161,0.9315960912052117
0.42,0.9050632911392406,0.959731543624161,0.9315960912052117
0.43,0.910828025477707,0.959731543624161,0.934640522875817
0.44,0.910828025477707,0.959731543624161,0.934640522875817
0.45,0.910828025477707,0.959731543624161,0.934640522875817
0.46,0.9166666666666666,0.959731543624161,0.9377049180327869
0.47000000000000003,0.9281045751633987,0.9530201342281879,0.9403973509933775
0.48,0.9281045751633987,0.9530201342281879,0.9403973509933775
0.49,0.9342105263157895,0.9530201342281879,0.9435215946843853
0.5,0.9342105263157895,0.9530201342281879,0.9435215946843853
0.51,0.9403973509933775,0.9530201342281879,0.9466666666666667
0.52,0.9463087248322147,0.9463087248322147,0.9463087248322147
0.53,0.9527027027027027,0.9463087248322147,0.9494949494949495
0.54,0.9657534246575342,0.9463087248322147,0.9559322033898305
0.55,0.9655172413793104,0.9395973154362416,0.9523809523809523
0.56,0.9722222222222222,0.9395973154362416,0.9556313993174061
0.5700000000000001,0.9722222222222222,0.9395973154362416,0.9556313993174061
0.58,0.972027972027972,0.9328859060402684,0.952054794520548
0.59,0.971830985915493,0.9261744966442953,0.9484536082474226
0.6,0.971830985915493,0.9261744966442953,0.9484536082474226
0.61,0.971830985915493,0.9261744966442953,0.9484536082474226
0.62,0.971830985915493,0.9261744966442953,0.9484536082474226
0.63,0.971830985915493,0.9261744966442953,0.9484536082474226
0.64,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.65,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.66,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.67,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.68,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.6900000000000001,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.7000000000000001,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.71,0.9787234042553191,0.9261744966442953,0.9517241379310345
0.72,0.9857142857142858,0.9261744966442953,0.9550173010380623
0.73,0.9856115107913669,0.9194630872483222,0.9513888888888888
0.74,0.9856115107913669,0.9194630872483222,0.9513888888888888
0.75,0.9856115107913669,0.9194630872483222,0.9513888888888888
0.76,0.9856115107913669,0.9194630872483222,0.9513888888888888
0.77,0.9855072463768116,0.912751677852349,0.9477351916376306
0.78,0.9854014598540146,0.9060402684563759,0.9440559440559441
0.79,0.9851851851851852,0.8926174496644296,0.9366197183098591
0.8,0.9849624060150376,0.8791946308724832,0.9290780141843972
0.81,0.9923076923076923,0.8657718120805369,0.9247311827956989
0.8200000000000001,0.9921875,0.8523489932885906,0.9169675090252708
0.8300000000000001,0.9921875,0.8523489932885906,0.9169675090252708
0.84,0.9920634920634921,0.8389261744966443,0.9090909090909091
0.85,0.992,0.8322147651006712,0.9051094890510949
0.86,0.9919354838709677,0.825503355704698,0.9010989010989011
0.87,0.9917355371900827,0.8053691275167785,0.8888888888888888
0.88,0.9914529914529915,0.7785234899328859,0.8721804511278195
0.89,1.0,0.7651006711409396,0.8669201520912547
0.9,1.0,0.738255033557047,0.8494208494208494
0.91,1.0,0.697986577181208,0.8221343873517787
0.92,1.0,0.6577181208053692,0.7935222672064778
0.93,1.0,0.5973154362416108,0.7478991596638656
0.9400000000000001,1.0,0.4899328859060403,0.6576576576576577
0.9500000000000001,1.0,0.4563758389261745,0.6267281105990783
0.96,1.0,0.348993288590604,0.5174129353233831
0.97,1.0,0.28859060402684567,0.4479166666666667
0.98,1.0,0.1342281879194631,0.23668639053254437
0.99,1.0,0.040268456375838924,0.07741935483870968
1.0,0.0,0.0,0.0
